FID,gid,geom,desc,status,cve_serv,servicio,desc_serv,categoria
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46a0,33,POINT (-103.349609077 20.6596990164),Hay mucha basura tirada en el suelo,open,63,Recolección de basura domiciliaria,Irregularidades con la recolección de basura domiciliada ya sea con el camión o con el personal del mismo,aseo
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-469f,34,POINT (-103.3722304925 20.6858364699),El árbol esta recargado sobre mi casa,progress,100,Árbol a punto de caer,"Un árbol se encuentra desprendido de su raíz, recargado sobre otro árbol, barda, cancel, cables, poste, etc",parques_y_jardines
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-469e,35,POINT (-103.331704326 20.6609764598),Llego un señor y saco una pistola y asalto a una señora,open,108,Robos,Ayudanos a reportar robos que hayas detectado,
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-469d,36,POINT (-103.3688454 20.6755049),Robo a casa,closed,102,Robo,"Reportes de robo con arma de fuego, arma blanca etc",
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-469c,37,POINT (-103.3687814 20.675467),El árbol recargado en mi vivienda,closed,100,Árbol a punto de caer,"Un árbol se encuentra desprendido de su raíz, recargado sobre otro árbol, barda, cancel, cables, poste, etc",parques_y_jardines
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-469b,38,POINT (-103.383208774 20.6796227116),El árbol que esta afuera de mi casa esta colgando de los cables,progress,100,Árbol a punto de caer,"Un árbol se encuentra desprendido de su raíz, recargado sobre otro árbol, barda, cancel, cables, poste, etc",parques_y_jardines
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-469a,39,POINT (-103.3737005 20.6477098),"La calle está llena de baches. Peligroso, saltan piedras al pasar con el coche.",progress,85,Pavimento de asfalto,"Carpetas asfálticas deteriorada, en mal estado o con baches",pavimentos
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-4699,40,POINT (-103.3522517234 20.6606263561),Prueba versión,open,63,Recolección de basura domiciliaria,Irregularidades con la recolección de basura domiciliada ya sea con el camión o con el personal del mismo,aseo
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-4698,41,POINT (-103.349609077 20.660350288),Habido un robo en este momento en este banco,open,102,Robo,"Reportes de robo con arma de fuego, arma blanca etc",
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-4697,42,POINT (-103.349609077 20.6596990164),Está produciendo un robo enfrente del McDonald's,open,102,Robo,"Reportes de robo con arma de fuego, arma blanca etc",
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-4696,43,POINT (-103.3682708815 20.6856419998),El camión no ha pasado en varios días y ya tengo mucha basura acumulada afuera de mi domicilio,progress,63,Recolección de basura domiciliaria,Irregularidades con la recolección de basura domiciliada ya sea con el camión o con el personal del mismo,aseo
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-4695,44,POINT (-103.3623422 20.6599274),el camion no recorre toda la calle CABSA,pending,65,Cableado,Problemas con el cableado público,alumbrado
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-4694,45,POINT (-103.3688759 20.6749438),Prueba pavimento de asfalto,closed,85,Pavimento de asfalto,"Carpetas asfálticas deteriorada, en mal estado o con baches",pavimentos
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-4693,46,POINT (-103.3370975778 20.6799109779),Pavimento de concreto,pending,86,Pavimento de concreto,"Losas de concreto dañadas, fracturadas, etc.",pavimentos
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-4692,47,POINT (-103.3688686 20.6749645),Pruebas de topeeeeeee,pending,9,Topes,"Instalación, reparación, rehabilitación reubicación de topes",
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-4691,48,POINT (-103.3448659256 20.6697535738),Prueba descripción de papeleras,open,60,Papeleras,"Limpieza de papeleras, montaje, desmontaje, mantenimiento, re ubicación, en mal estado, etc",aseo
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-4690,49,POINT (-103.3679268882 20.6917770994),El asfalto de ni calle esta en muy malas condiciones,closed,85,Pavimento de asfalto,"Carpetas asfálticas deteriorada, en mal estado o con baches",pavimentos
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-468f,50,POINT (-103.3506523 20.6641067),,open,88,Pavimento Interno,Descripción detallada del trabajo a realizar.,
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-468e,51,POINT (-103.3687101 20.6755234),Hshshdidkwbwduejej,open,104,Portación,"Portación de armas, explosivos, dinero falso, drogas, etc",
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46bf,1,POINT (-103.3427204937 20.6558634843),eureka,pending,65,Cableado,Problemas con el cableado público bitch,alumbrada
Reportes Ciudapp.fid-2e0bf59_1562e4380a4_-46bf,1,POINT (-103.3427204937 20.6558634843),eureka,pending,65,Cableado,Problemas con el cableado público bitch,alumbrada
